7zip 24.09-3
procs 0.14.10-1
prometheus 3.4.1-1
prometheus-node-exporter 1.9.1-2
pulseaudio-alsa 1:1.2.12-4
pulseaudio-ctl 1.70-2
python-httpie-jwt-auth 0.4.0-2
python-keyring 25.6.0-1
python-mutagen 1.47.0-3
python-pip 25.1.1-1
python-pipx 1.7.1-2
python-pyqt5 5.15.11-2
python-reportlab 4.2.2-5
python-sshtunnel 0.4.0-8
python-tabview 1.4.4-5
qdirstat-bin 1.9-1
qemu-full 10.0.0-7
qt5ct 1.9-1
ranger 1.9.4-4
rclone 1.70.1-1
redisinsight-bin 2.66.0-1
redshift-qt 0.6-2
reiserfsprogs 3.6.27-5
restic 0.18.0-1
ripgrep 14.1.1-1
rofi 1.7.9.1-1
rsync 3.4.1-2
s-nail 14.9.25-1
samba 2:4.22.2-1
sane-airscan 0.99.35-1
sbxkb 0.7.6-7
sc 7.16-8
sc-im 0.8.4-1
screen 5.0.1-3
screenfetch 3.9.9-1
screenkey 1.5-5
sddm 0.21.0-6
sesh-bin 2.13.0-1
simple-scan 48.1-1
simplescreenrecorder 0.4.4-3
slurp 1.5.0-1
smartmontools 7.5-1
snapd 2.68.4-1
sniffnet 1.3.2-1
sof-firmware 2025.05-1
spectre-meltdown-checker 0.46+20+g9b7b09a-1
speedtest-cli 2.1.3-9
sqlitebrowser 3.13.1-1
starship 1.23.0-1
stow 2.4.1-1
strace 6.15-1
subversion 1.14.5-3
sudo 1.9.17.p1-0.1
swayidle 1.8.0-2
swaylock 1.8.2-1
sxiv 26-2
syncthing 1.29.7-1
sysfsutils 2.1.1-2
syslog-ng 4.8.3-4
system-config-printer 1.5.18-5
systemd 257.6-1
tabiew 0.9.4-1
telegram-desktop 5.15.4-2
terminus-font 4.49.1-7
terraform 1.12.1-1
texinfo 7.2-1
thunar 4.20.3-1
thunderbird 139.0.2-1
tidy 5.8.0-3
tig 2.5.12-1
tk 8.6.16-1
tlrc-bin 1.11.1-1
tmux 3.5_a-1
traceroute 2.1.6-1
translate-shell 0.9.7.1-2
trashy 2.0.0-1
tree 2.2.1-1
trimage 1.0.6-2
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-droid 20121017-11
ttf-firacode-nerd 3.4.0-1
ttf-font-awesome 6.7.2-1
ttf-inconsolata 1:3.000-4
ttf-indic-otf 0.2-12
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
typst 1:0.13.1-1
update-grub 2:2.12.r292.g73d1c959-1
upower 1.90.9-1
urlview 1.d-1
usbutils 018-1
uv 0.7.13-1
uwsm 0.21.8-1
vdhcoapp-bin 2.0.20-2
vi 1:070224-6
vibrancy-icons-teal 2.7-2
viewnior 1.8-6
vim 9.1.1431-1
virt-manager 5.0.0-1
virt-viewer 11.0-4
visual-studio-code-bin 1.100.3-1
vlc 3.0.21-24
vnstat 2.13-1
volumeicon 0.5.1-7
vulkan-intel 1:25.1.4-1
vulkan-radeon 1:25.1.4-1
w3m 0.5.3.git20230713_1-1
wallpapers-juhraya 1.1-3
waybar 0.12.0-1
web-ext 8.3.0-1
websocat 1.14.0-1
wget 1.25.0-2
which 2.23-1
whois 5.6.1-1
wikiman 2.14.1-1
wine 10.9-1
winetricks 20250102-1
wireless-regdb 2025.02.20-1
wireplumber 0.5.10-1
wkhtmltopdf-static 0.12.6.1_r3-1
wl-clipboard 1:2.2.1-2
wmutils 1:1.7-1
wofi 1.4.1-1
wpa_supplicant 2:2.11-3
xarchiver 0.5.4.25-1
xautolock 2.2-8
xcursor-maia 20160417-3
xdg-desktop-portal 1.20.3-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.9-9
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xdotool 3.20211022.1-2
xf86-input-elographics 1.4.4-1
xf86-input-evdev 2.11.0-1
xf86-input-libinput 1.5.0-1
xf86-input-void 1.4.2-2
xf86-video-amdgpu 23.0.0-2
xf86-video-ati 1:22.0.0-2
xf86-video-intel 1:2.99.917+939+g4a64400e-1
xf86-video-nouveau 1.0.18-1
xfburn 0.7.2-3
xfce4-power-manager 4.20.0-3
xfsprogs 6.14.0-1
xorg-server 21.1.18-1
xorg-twm 1.0.13.1-1
xorg-xev 1.2.6-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xkill 1.0.6-2
xorg-xprop 1.2.8-1
xterm 400-1
yarn 1.22.22-2
yay 12.5.0-1
yazi 25.5.31-1
yq 3.4.3-2
yt-dlp 2025.06.09-1
zathura 0.5.11-1
zathura-pdf-mupdf 0.4.4-17
zed 0.191.6-1
zen-browser-bin 1.14.1b-1
zensu 0.3-7
zoxide 0.9.8-2
