haskell-aeson 2.1.2.1-94
haskell-aeson-pretty 0.8.10-54
haskell-ansi-terminal 1.0.2-10
haskell-ansi-terminal-types 0.11.5-50
haskell-ansi-wl-pprint 0.6.9-469
haskell-appar 0.1.8-15
haskell-asn1-encoding 0.9.6-255
haskell-asn1-parse 0.9.5-255
haskell-asn1-types 0.3.4-234
haskell-assoc 1.1.1-2
haskell-async 2.2.5-99
haskell-attoparsec 0.14.4-99
haskell-attoparsec-aeson 2.1.0.0-78
haskell-attoparsec-iso8601 1.1.0.0-75
haskell-auto-update 0.1.6-369
haskell-base-compat 0.12.3-1
haskell-base-compat-batteries 0.12.3-3
haskell-base-orphans 0.9.0-8
haskell-base-unicode-symbols 0.2.4.2-15
haskell-base16-bytestring 1.0.2.0-105
haskell-base64-bytestring 1.2.1.0-129
haskell-basement 0.0.16-3
haskell-bifunctors 5.6-163
haskell-bitvec 1.1.3.0-141
haskell-blaze-builder 0.4.2.3-3
haskell-blaze-html 0.9.2.0-25
haskell-blaze-markup 0.8.3.0-35
haskell-boring 0.2.2-1
haskell-bsb-http-chunked 0.0.0.4-413
haskell-byteorder 1.0.4-26
haskell-call-stack 0.4.0-236
haskell-case-insensitive 1.2.1.0-228
haskell-cassava 0.5.3.2-35
haskell-cereal 0.5.8.3-3
haskell-citeproc 0.8.1-166
haskell-cmdargs 0.10.22-3
haskell-colour 2.3.6-260
haskell-commonmark 0.2.5.1-22
haskell-commonmark-extensions 0.2.5.3-19
haskell-commonmark-pandoc 0.2.2.1-39
haskell-comonad 5.0.9-20
haskell-conduit 1.3.6.1-32
haskell-conduit-extra 1.3.6-189
haskell-constraints 0.13.4-76
haskell-contravariant 1.5.5-5
haskell-cookie 0.4.6-3
haskell-crypton 0.34-36
haskell-crypton-connection 0.4.1-3
haskell-crypton-x509 1.7.6-53
haskell-crypton-x509-store 1.6.9-53
haskell-crypton-x509-system 1.6.7-53
haskell-crypton-x509-validation 1.6.13-7
haskell-data-array-byte 0.1.0.1-80
haskell-data-default 0.7.1.1-341
haskell-data-default-class 0.1.2.0-26
haskell-data-default-instances-containers 0.1.0.2-4
haskell-data-default-instances-dlist 0.0.1.2-24
haskell-data-default-instances-old-locale 0.0.1-40
haskell-data-fix 0.3.3-7
haskell-dec 0.0.6-1
haskell-digest 0.0.1.7-3
haskell-distributive 0.6.2.1-235
haskell-djot 0.1.1.3-25
haskell-dlist 1.0-274
haskell-doclayout 0.4.0.1-57
haskell-doctemplates 0.11-120
haskell-easy-file 0.2.5-46
haskell-emojis 0.1.4.1-7
haskell-erf 2.0.0.0-26
haskell-fast-logger 3.1.2-125
haskell-file-embed 0.0.15.0-3
haskell-foldable1-classes-compat 0.1-163
haskell-generically 0.1.1-12
haskell-ghc-bignum-orphans 0.1.1-3
haskell-glob 0.10.2-115
haskell-gridtables 0.1.0.0-76
haskell-haddock-library 1.11.0-75
haskell-hashable 1.4.4.0-83
haskell-hourglass 0.2.12-271
haskell-hslua 2.3.0-100
haskell-hslua-aeson 2.3.0.1-82
haskell-hslua-classes 2.3.0-97
haskell-hslua-core 2.3.1-89
haskell-hslua-list 1.1.3-25
haskell-hslua-marshalling 2.3.1-49
haskell-hslua-module-doclayout 1.1.0-111
haskell-hslua-module-path 1.1.0-103
haskell-hslua-module-system 1.1.1-10
haskell-hslua-module-text 1.1.0.1-72
haskell-hslua-module-version 1.1.1-42
haskell-hslua-module-zip 1.1.1-69
haskell-hslua-objectorientation 2.3.0-93
haskell-hslua-packaging 2.3.1-58
haskell-hslua-repl 0.1.2-55
haskell-hslua-typing 0.1.1-51
haskell-http-api-data 0.5.1-97
haskell-http-client 0.7.17-43
haskell-http-client-tls 0.3.6.4-18
haskell-http-date 0.0.11-161
haskell-http-media 0.8.1.1-39
haskell-http-types 0.12.4-49
haskell-http2 4.1.1-12
haskell-hunit 1.6.2.0-278
haskell-indexed-traversable 0.1.4-76
haskell-indexed-traversable-instances 0.1.2-38
haskell-integer-logarithms 1.0.3.1-8
haskell-iproute 1.7.15-8
haskell-ipynb 0.2-186
haskell-isocline 1.0.9-3
haskell-jira-wiki-markup 1.5.1-47
haskell-juicypixels 3.3.9-13
haskell-lexer 1.1.1-3
haskell-libyaml 0.1.4-60
haskell-lpeg 1.0.4-52
haskell-lua 2.3.3-24
haskell-memory 0.18.0-33
haskell-mime-types 0.1.2.0-3
haskell-mmorph 1.2.0-7
haskell-monad-control 1.0.3.1-127
haskell-mono-traversable 1.0.21.0-33
haskell-network 3.1.4.0-45
haskell-network-byte-order 0.1.7-3
haskell-network-uri 2.6.4.2-57
haskell-old-locale 1.0.0.7-32
