hyphen 2.8.8-5
i3-default-artwork 20190912-1
i3-help 20180110-1
i3-resurrect 1.4.5-1
i3-scripts 20220913-1
i3-scrot 2.1-2
i3-wm 4.23-4
i3blocks 1.5-4
i3exit 20201126-1
i3lock-color 2.13.c.5-1
i3status 2.14-1
iana-etc 20240412-1
icu 75.1-1
ijs 0.35-6
imagemagick 7.1.1.33-1
imath 3.1.11-2
imlib2 1.12.2-2
inetutils 2.5-1
iniparser 4.2.2-1
intel-ucode 20240531-1
inxi 3.3.34.1-1
ipp-usb 0.9.25-1
iproute2 6.9.0-1
iptables 1:1.8.10-1
iputils 20240117-1
ipython 8.25.0-1
iso-codes 4.16.0-1
iw 6.9-1
jack2 1.9.22-1
jansson 2.14-4
jasper 4.2.4-1
jbig2dec 0.20-1
jbigkit 2.1-8
jemalloc 1:5.3.0-4
jfsutils 1.1.15-9
jpegoptim 1.5.5-1
jq 1.7.1-1
jqp 0.7.0-1
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
jupyter-nbclient 0.10.0-3
jupyter-nbconvert 7.16.4-3
jupyter-nbformat 5.10.4-2
jupyter-notebook 7.2.0-1
jupyter-notebook-shim 0.2.4-2
jupyter-server 2.14.1-1
jupyterlab 4.2.1-1
jupyterlab-pygments 0.3.0-2
just 1.27.0-1
jxrlib 0.2.4-2
karchive 6.2.0-1
karchive5 5.116.0-1
kauth 6.2.0-1
kauth5 5.116.0-1
kbd 2.6.4-1
kbookmarks 6.2.0-1
kbookmarks5 5.116.0-1
kcodecs 6.2.0-1
kcodecs5 5.116.0-1
kcolorchooser 24.05.0-1
kcolorscheme 6.2.0-1
kcompletion 6.2.0-1
kcompletion5 5.116.0-1
kconfig 6.2.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.2.0-1
kconfigwidgets5 5.116.0-1
kcoreaddons 6.2.0-1
kcoreaddons5 5.116.0-1
kcrash 6.2.0-1
kcrash5 5.116.0-1
kdbusaddons 6.2.0-1
kdbusaddons5 5.116.0-1
kded5 5.116.0-1
keepassxc 2.7.8-1
keyutils 1.6.3-2
kglobalaccel 6.2.0-1
kglobalaccel5 5.116.0-1
kguiaddons 6.2.0-1
kguiaddons5 5.116.0-1
ki18n 6.2.0-1
ki18n5 5.116.0-1
kiconthemes 6.2.0-1
kiconthemes5 5.116.0-1
kio 6.2.0-2
kio5 5.116.0-1
kitemmodels5 5.116.0-1
kitemviews 6.2.0-1
kitemviews5 5.116.0-1
kitty 0.35.1-1
kitty-shell-integration 0.35.1-1
kitty-terminfo 0.35.1-1
kjobwidgets 6.2.0-1
kjobwidgets5 5.116.0-1
kmod 32-1
knewstuff 6.2.0-1
knewstuff5 5.116.0-1
knotifications 6.2.0-1
knotifications5 5.116.0-1
knotifyconfig 6.2.0-1
knotifyconfig5 5.116.0-1
konsole 24.05.0-1
kpackage 6.2.0-1
kpackage5 5.116.0-1
kparts 6.2.0-1
kparts5 5.116.0-1
kpty 6.2.0-1
kpty5 5.116.0-1
krb5 1.21.2-2
kservice 6.2.0-1
kservice5 5.116.0-1
ktextwidgets 6.2.0-1
ktextwidgets5 5.116.0-1
kvantum 1.1.2-1
kvantum-manjaro 0.13.5+5+g0179d45-4
kvantum-qt5 1.1.2-1
kwallet 6.2.1-1
kwallet5 5.116.0-1
kwidgetsaddons 6.2.2-1
kwidgetsaddons5 5.116.0-1
kwindowsystem 6.2.0-1
kwindowsystem5 5.116.0-1
kxmlgui 6.2.0-1
kxmlgui5 5.116.0-1
kyotocabinet 1.2.79-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.12.0-5
lazydocker-bin 0.23.3-1
lazygit 0.42.0-1
lcms2 2.16-1
ldb 2:2.9.0-3
ldns 1.8.3-2
lensfun 1:0.3.4-4
leptonica 1.84.1-2
less 1:643-2
lf 32-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-3
lib32-curl 8.8.0-1
lib32-e2fsprogs 1.47.1-1
lib32-expat 2.6.2-1
lib32-flex 2.6.4-4
lib32-gcc-libs 14.1.1+r58+gfc9fb69ad62-1
lib32-glibc 2.39+r52+gf8e4623421-1
lib32-icu 75.1-1
